Id,Neighborhood,Total_sqr_footage,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,LotFrontage,PoolArea,SalePrice,Street,BldgType,FullBath,HalfBath,BsmtFullBath
108,OldTown,1578,5,5,1948,789,1,50,0,115000,Pave,1Fam,1,0,0
109,IDOTRR,2310,5,7,1919,1517,0,85,0,115000,Pave,1Fam,2,0,0
110,NWAmes,3688,6,6,1977,1844,2,105,0,190000,Pave,1Fam,2,0,0
111,Edwards,2849,6,4,1954,1855,1,75,0,136900,Pave,1Fam,2,0,0
112,Gilbert,1814,7,5,2000,1430,2,,0,180000,Pave,1Fam,2,1,0
113,CollgCr,3960,7,5,2007,2696,3,77,0,383970,Pave,1Fam,2,1,1
114,Crawfor,4068,6,5,1953,2259,2,,0,217000,Pave,1Fam,2,0,1
115,Crawfor,3348,6,8,1945,2320,1,61,0,259500,Pave,1Fam,2,1,1
116,Somerst,2187,6,5,1999,1458,2,34,0,176000,Pave,TwnhsE,2,1,0
117,Sawyer,2184,5,5,1962,1092,1,,0,139000,Pave,1Fam,1,0,0
118,Edwards,2250,5,5,2006,1125,2,74,0,155000,Pave,1Fam,1,1,0
119,SawyerW,4895,7,5,1990,3222,3,90,0,320000,Pave,1Fam,3,0,1
120,CollgCr,2184,6,5,2005,1456,2,65,0,163990,Pave,1Fam,2,1,0
121,ClearCr,1926,6,5,1969,988,2,,0,180000,Pave,1Fam,1,0,1
122,IDOTRR,1855,4,5,1939,1123,1,50,0,100000,Pave,1Fam,1,0,0
123,NAmes,2160,6,7,1958,1080,1,75,0,136000,Pave,1Fam,1,0,0
124,SawyerW,2398,6,5,1993,1199,2,55,0,153900,Pave,TwnhsE,2,0,0
125,NWAmes,2948,6,5,1979,1586,2,48,0,181000,Pave,1Fam,2,0,0
126,IDOTRR,1040,6,8,1935,754,0,60,0,84500,Pave,2fmCon,1,0,1
127,NPkVill,2036,6,5,1976,958,2,,0,128000,Pave,TwnhsE,2,0,0
128,OldTown,1512,5,7,1930,840,0,55,0,87000,Pave,1Fam,1,0,0
129,NAmes,2008,6,5,1966,1348,2,69,0,155000,Pave,1Fam,1,1,0
130,NAmes,2061,5,7,1958,1053,2,69,0,150000,Pave,1Fam,1,1,0
131,NAmes,3081,7,6,1966,2157,2,88,0,226000,Pave,1Fam,2,1,0
132,Gilbert,3046,6,5,2000,2054,2,,0,244000,Pave,1Fam,2,1,1
133,NAmes,2390,5,6,1959,1327,2,75,0,150750,Pave,1Fam,1,0,1
134,Timber,2563,8,5,2001,1296,2,,0,220000,Pave,1Fam,2,0,1
135,Sawyer,3182,5,6,1968,1721,2,78,0,180000,Pave,1Fam,2,1,0
136,NWAmes,2986,7,6,1970,1682,2,80,0,174000,Pave,1Fam,2,0,0
137,NAmes,2428,5,5,1967,1214,1,,0,143000,Pave,1Fam,2,0,0
138,Mitchel,3866,7,5,1988,1959,3,82,0,171000,Pave,Duplex,3,0,0
139,CollgCr,2856,8,5,1999,1852,3,73,0,230000,Pave,1Fam,2,1,0
140,CollgCr,2692,6,5,1997,1764,2,65,0,231500,Pave,1Fam,2,1,1
141,NAmes,1728,4,5,1971,864,0,70,0,115000,Pave,1Fam,1,0,0
142,CollgCr,3468,7,5,2005,1734,2,78,0,260000,Pave,1Fam,2,0,1
143,NAmes,2295,5,4,1952,1385,2,71,0,166000,Pave,1Fam,2,0,0
144,CollgCr,2991,7,5,1999,1501,2,78,0,204000,Pave,1Fam,2,0,1
145,Sawyer,3456,5,5,1963,1728,2,70,0,125000,Pave,Duplex,2,0,1
146,Edwards,2679,6,5,2004,1709,2,24,0,130000,Pave,Twnhs,2,0,0
147,BrkSide,1590,5,7,1931,875,1,51,0,105000,Pave,1Fam,1,0,1
148,Gilbert,2919,7,5,2001,2035,2,,0,222500,Pave,1Fam,2,1,0
149,SawyerW,2160,7,5,2004,1080,0,63,0,141000,Pave,1Fam,1,0,1
150,BrkSide,2240,5,4,1936,1344,1,,0,115000,Pave,1Fam,1,0,0
151,CollgCr,1938,5,6,1975,969,2,120,0,122000,Pave,1Fam,1,1,0
152,NridgHt,3420,8,5,2007,1710,3,107,0,372402,Pave,1Fam,2,0,1
153,NWAmes,2818,6,5,1971,1993,2,,0,190000,Pave,1Fam,2,1,0
154,ClearCr,2854,6,7,1960,1252,2,,0,235000,Pave,1Fam,1,0,1
155,OldTown,2400,6,5,1923,1200,1,84,0,125000,Pave,1Fam,1,0,0
156,Edwards,1668,6,5,1924,1096,0,60,0,79000,Pave,1Fam,1,0,0
157,NAmes,1040,5,7,1950,1040,2,60,0,109500,Pave,1Fam,1,0,0
158,Timber,2742,8,5,2009,1968,3,92,0,269500,Pave,1Fam,2,1,0
159,Somerst,2938,7,5,2004,1947,2,100,0,254900,Pave,1Fam,2,1,0
160,Gilbert,3854,7,5,2005,2462,2,134,0,320000,Pave,1Fam,2,1,1
161,Veenker,2464,6,6,1984,1232,2,,0,162500,Pave,1Fam,2,0,0
162,NridgHt,4240,9,5,2003,2668,3,110,0,412500,Pave,1Fam,2,1,1
163,NridgHt,3082,7,5,2005,1541,2,95,0,220000,Pave,1Fam,2,0,0
164,OldTown,1764,4,6,1956,882,0,55,0,103200,Pave,1Fam,1,0,0
165,OldTown,2765,6,7,1926,1616,1,40,0,152000,Pave,1Fam,2,0,0
166,Edwards,1999,5,7,1940,1355,0,62,0,127500,Pave,2fmCon,2,0,1
167,ClearCr,3484,5,5,1955,1867,1,,0,190000,Pave,1Fam,1,0,1
168,NridgHt,3743,8,5,2007,2161,3,86,0,325624,Pave,1Fam,1,1,1
169,Gilbert,2560,7,5,2004,1720,2,62,0,183500,Pave,1Fam,2,1,0
170,Timber,3393,8,6,1981,1707,2,,0,228000,Pave,1Fam,2,1,0
171,OldTown,1574,5,6,1941,1382,2,,0,128500,Pave,1Fam,1,1,0
172,NAmes,2736,6,5,1960,1656,2,141,0,215000,Pave,1Fam,1,0,1
173,StoneBr,2831,7,7,1987,1767,2,44,0,239000,Pave,TwnhsE,2,0,1
174,NAmes,2724,6,5,1961,1362,2,80,0,163000,Pave,1Fam,1,1,1
175,Timber,3257,6,5,1986,1651,2,47,0,184000,Pave,1Fam,2,0,1
176,Edwards,3360,6,7,1950,2158,2,84,0,243000,Pave,1Fam,2,0,1
177,ClearCr,3211,6,5,1988,2060,2,97,0,211000,Pave,1Fam,2,1,0
178,Sawyer,2972,5,5,1958,1920,2,,0,172500,Pave,1Fam,2,0,1
179,StoneBr,4450,9,5,2008,2234,3,63,0,501837,Pave,1Fam,2,0,1
180,OldTown,1936,5,6,1923,968,2,60,0,100000,Pave,1Fam,1,0,0
181,Somerst,2281,6,5,2000,1525,2,,0,177000,Pave,Twnhs,2,1,0
182,Crawfor,2595,7,6,1920,1802,1,54,0,200100,Pave,1Fam,1,1,0
183,Edwards,1340,5,6,1957,1340,1,60,0,120000,Pave,1Fam,1,0,0
184,OldTown,3444,7,5,2003,2082,2,63,0,200000,Pave,1Fam,2,1,0
185,BrkSide,1756,5,8,1908,1252,2,92,0,127000,Pave,1Fam,1,0,0
186,OldTown,4143,10,9,1892,3608,3,90,0,475000,Pave,1Fam,2,1,0
187,Mitchel,2405,7,5,1990,1217,2,,0,173000,Pave,1Fam,2,0,1
188,OldTown,2172,5,7,1916,1656,1,60,0,135000,Pave,1Fam,2,1,0
189,SawyerW,2310,5,5,1979,1224,2,64,0,153337,Pave,Duplex,0,2,2
190,StoneBr,3186,8,5,2001,1593,2,41,0,286000,Pave,TwnhsE,1,1,1
191,Crawfor,3580,8,8,1932,2727,2,70,0,315000,Pave,1Fam,2,1,0
192,NAmes,2204,7,9,1972,1479,2,,0,184000,Pave,1Fam,1,1,1
193,CollgCr,2862,7,5,1999,1431,2,68,0,192000,Pave,1Fam,2,0,1
194,Edwards,2679,7,5,2004,1709,2,24,0,130000,Pave,Twnhs,2,0,0
195,CollgCr,1728,5,7,1972,864,1,60,0,127000,Pave,1Fam,1,0,0
196,NPkVill,2311,6,6,1976,1456,2,24,0,148500,Pave,Twnhs,2,1,0
197,Somerst,3452,7,5,2007,1726,3,79,0,311872,Pave,1Fam,2,0,1
198,NAmes,4080,8,4,1918,3112,2,174,512,235000,Pave,1Fam,2,0,1
199,OldTown,2613,6,6,1912,2229,0,92,0,104000,Pave,1Fam,1,0,0
200,NridgHt,3426,8,5,2004,1713,3,76,0,274900,Pave,1Fam,2,0,1
201,Edwards,2242,4,5,2003,1121,2,80,0,140000,Pave,1Fam,2,0,0
202,Mitchel,2475,6,6,1977,1279,2,75,0,171500,Pave,1Fam,2,0,0
203,OldTown,1927,6,6,1924,1310,1,50,0,112000,Pave,1Fam,2,0,0
204,CollgCr,1696,6,5,2004,848,2,,0,149000,Pave,TwnhsE,1,0,1
205,OldTown,2004,5,7,1947,1284,1,50,0,110000,Pave,1Fam,1,1,0
206,Gilbert,2866,7,5,1990,1442,2,99,0,180500,Pave,1Fam,2,0,0
207,Sawyer,2836,5,5,1962,1696,1,40,0,143900,Pave,1Fam,1,1,0
208,NAmes,2200,4,5,1960,1100,1,,0,141000,Pave,1Fam,1,0,1
209,SawyerW,3219,7,5,1988,2062,2,,0,277000,Pave,1Fam,2,1,1
210,NAmes,2184,6,7,1964,1092,2,75,0,145000,Pave,1Fam,1,0,1
211,Edwards,1728,5,6,1925,864,0,67,0,98000,Pave,1Fam,1,0,1
212,Edwards,2424,6,5,2009,1212,2,83,0,186000,Pave,1Fam,2,0,0
213,Somerst,2752,7,5,2009,1852,2,72,0,252678,Pave,1Fam,2,1,1
214,CollgCr,1980,5,5,1995,990,2,43,0,156000,Pave,1Fam,1,0,0
215,CollgCr,2081,6,7,1977,1392,1,,0,161750,Pave,1Fam,1,1,0
216,NAmes,2306,5,6,1957,1236,1,72,0,134450,Pave,1Fam,1,0,0
217,CollgCr,2872,7,5,2004,1436,2,65,0,210000,Pave,1Fam,2,0,1
218,OldTown,2014,4,4,1925,1328,1,57,0,107000,Pave,1Fam,1,0,0
219,Crawfor,2752,7,9,1939,1954,2,,0,311500,Pave,1Fam,1,1,0
220,Blmngtn,2496,7,5,2005,1248,2,43,0,167240,Pave,TwnhsE,2,0,0
221,CollgCr,2996,7,5,2006,1498,2,73,0,204900,Pave,1Fam,2,0,0
222,Gilbert,3277,6,5,2002,2267,2,,0,200000,Pave,1Fam,2,1,0
223,NWAmes,2265,6,6,1975,1552,2,85,0,179900,Pave,1Fam,2,1,1
224,NAmes,1728,4,6,1971,864,2,70,0,97000,Pave,1Fam,1,0,0
225,NridgHt,4784,10,5,2003,2392,3,103,0,386250,Pave,1Fam,2,0,0
226,BrDale,1932,5,5,1971,1302,1,21,0,112000,Pave,Twnhs,2,1,0
227,NoRidge,3723,7,5,1995,2520,3,82,0,290000,Pave,1Fam,2,1,0
228,BrDale,1470,6,6,1970,987,1,21,0,106000,Pave,Twnhs,1,1,0
229,Sawyer,1824,5,5,1967,912,1,70,0,125000,Pave,1Fam,1,0,0
230,Blmngtn,2928,7,5,2005,1555,2,43,0,192500,Pave,TwnhsE,2,0,0
231,NAmes,2388,6,6,1959,1194,1,73,0,148000,Pave,1Fam,1,0,1
232,NoRidge,4256,8,5,1995,2794,3,174,0,403000,Pave,1Fam,2,1,1
233,BrDale,1470,6,5,1972,987,1,21,0,94500,Pave,Twnhs,1,1,0
234,CollgCr,1788,5,6,1976,894,1,75,0,128200,Pave,1Fam,1,0,1
235,Gilbert,2820,6,5,2002,1960,2,,0,216500,Pave,1Fam,2,1,1
236,BrDale,1470,6,3,1971,987,1,21,0,89500,Pave,TwnhsE,1,1,0
237,CollgCr,2828,7,5,2004,1414,2,65,0,185500,Pave,1Fam,2,0,0
238,SawyerW,2740,7,7,1993,1744,2,,0,194500,Pave,1Fam,2,1,0
239,NridgHt,3388,8,5,2007,1694,3,93,0,318000,Pave,1Fam,2,0,0
240,Edwards,2222,6,4,1945,1487,1,52,0,113000,Pave,1Fam,1,1,0
241,Somerst,3132,8,5,2008,1566,2,75,0,262500,Pave,1Fam,2,0,1
242,OldTown,1552,5,9,1945,866,0,40,0,110500,Pave,1Fam,1,0,0
243,OldTown,1980,5,4,1900,1440,1,63,0,79000,Pave,1Fam,1,0,0
244,SawyerW,1843,6,6,1980,1217,1,75,0,120000,Pave,TwnhsE,1,1,0
245,SawyerW,3058,7,5,1994,2110,2,,0,205000,Pave,1Fam,2,1,1
246,NWAmes,3717,7,5,1988,1872,2,80,0,241500,Pave,1Fam,2,0,0
247,OldTown,2948,6,8,1910,1928,1,69,0,137000,Pave,2fmCon,2,0,0
248,NAmes,2742,6,5,1954,1375,2,75,0,140000,Pave,1Fam,1,0,0
249,CollgCr,2508,7,5,2003,1668,2,72,0,180000,Pave,1Fam,2,1,0
250,ClearCr,3588,6,7,1958,2144,2,,0,277000,Pave,1Fam,2,0,0
251,BrkSide,2034,3,2,1940,1306,0,55,0,76500,Pave,1Fam,1,0,0
252,Crawfor,3198,8,5,2006,1625,2,44,0,235000,Pave,TwnhsE,2,0,1
253,SawyerW,2438,6,5,2004,1640,2,65,0,173000,Pave,1Fam,2,1,0
254,NAmes,2604,6,7,1964,1302,1,85,0,158000,Pave,1Fam,2,0,0
255,NAmes,2628,5,6,1957,1314,1,70,0,145000,Pave,1Fam,1,0,1
256,Gilbert,3266,7,5,1999,2291,2,66,0,230000,Pave,1Fam,2,1,0
257,Somerst,2592,6,5,2003,1728,2,64,0,207500,Pave,1Fam,2,1,0
258,CollgCr,3208,7,5,2006,1604,2,68,0,220000,Pave,1Fam,2,1,1
259,CollgCr,2755,7,5,2001,1792,2,80,0,231500,Pave,1Fam,2,1,0
260,OldTown,882,5,5,1956,882,1,70,0,97000,Pave,1Fam,1,0,0
261,NAmes,2744,6,5,1962,1382,2,120,0,176000,Pave,1Fam,1,0,1
262,CollgCr,4056,8,5,2007,2574,3,69,0,276000,Pave,1Fam,2,1,0
263,Sawyer,1718,6,7,1977,1212,2,88,0,151000,Pave,1Fam,1,0,1
264,OldTown,1852,5,7,1929,1316,2,50,0,130000,Pave,1Fam,1,0,1
265,OldTown,1444,5,5,1925,764,2,30,0,73000,Pave,1Fam,1,0,0
266,NWAmes,2844,6,6,1981,1422,2,78,0,175500,Pave,1Fam,2,0,0
267,Gilbert,2313,6,5,1997,1511,2,70,0,185000,Pave,1Fam,2,1,1
268,SWISU,2492,5,8,1939,2192,1,60,0,179500,Pave,1Fam,2,1,0
269,IDOTRR,1518,5,6,1940,778,1,71,0,120500,Pave,1Fam,1,0,0
270,Edwards,2256,6,7,1976,1113,1,,0,148000,Pave,1Fam,1,1,1
271,Somerst,3034,8,5,2006,1939,3,84,0,266000,Pave,1Fam,2,1,0
272,ClearCr,2748,7,7,1954,1363,2,73,0,241500,Pave,1Fam,1,0,1
273,NoRidge,3422,8,7,1999,2270,3,92,0,290000,Pave,1Fam,2,1,0
274,NAmes,2872,6,6,1958,1632,1,80,0,139000,Pave,1Fam,2,0,1
275,Mitchel,1632,5,7,1982,816,1,76,0,124500,Pave,1Fam,1,0,0
276,BrkSide,2500,7,7,1925,1548,2,55,0,205000,Pave,1Fam,2,1,0
277,Mitchel,3120,7,5,2003,1560,2,129,0,201000,Pave,1Fam,2,0,0
278,Gilbert,1728,4,5,1951,864,2,140,0,141000,Pave,1Fam,1,0,0
279,NridgHt,4242,9,5,2006,2121,3,107,0,415298,Pave,1Fam,2,1,0
280,ClearCr,3182,7,5,1977,2022,2,83,0,192000,Pave,1Fam,2,1,0
281,SawyerW,2789,7,6,1989,1982,2,82,0,228500,Pave,1Fam,2,1,0
282,Somerst,2524,6,5,2006,1262,2,60,0,185000,Pave,1Fam,2,0,0
283,NridgHt,2628,7,5,2007,1314,2,34,0,207500,Pave,Twnhs,2,0,1
284,Somerst,2936,8,5,2008,1468,3,74,0,244600,Pave,1Fam,2,0,0
285,SawyerW,3150,6,5,1992,1575,2,50,0,179200,Pave,TwnhsE,2,0,1
286,Somerst,1875,7,5,2006,1250,2,35,0,164700,Pave,TwnhsE,2,1,0
287,NAmes,2646,6,7,1962,1734,2,77,0,159000,Pave,1Fam,1,1,0
288,NAmes,1716,4,4,1971,858,0,,0,88000,Pave,1Fam,1,0,0
289,Sawyer,1782,5,5,1967,900,1,,0,122000,Pave,1Fam,1,0,0
290,BrkSide,2094,6,7,1915,1396,1,60,0,153575,Pave,1Fam,1,0,0
291,CollgCr,2998,8,5,2006,1919,2,120,0,233230,Pave,1Fam,2,1,0
292,SWISU,2496,5,6,1912,1716,0,55,0,135900,Pave,2fmCon,2,0,1
293,Edwards,2484,5,4,1949,1716,1,60,0,131000,Pave,1Fam,1,1,0
294,NWAmes,3058,7,7,1977,2263,2,,0,235000,Pave,1Fam,2,1,1
295,NAmes,3060,6,5,1953,1644,2,80,0,167000,Pave,1Fam,1,0,1
296,Mitchel,2006,6,6,1984,1003,2,37,0,142500,Pave,1Fam,1,0,1
297,IDOTRR,2468,5,5,1950,1558,1,75,0,152000,Pave,1Fam,1,1,0
298,Somerst,2925,7,5,1997,1950,2,66,0,239000,Pave,1Fam,2,1,0
299,NWAmes,2445,6,6,1968,1743,2,90,0,175000,Pave,1Fam,1,2,0
300,Crawfor,2244,6,8,1950,1152,1,80,0,158500,Pave,1Fam,1,0,0
301,Crawfor,2501,5,5,1953,1336,1,90,0,157000,Pave,2fmCon,1,0,1
302,CollgCr,3480,8,5,1998,2452,2,66,0,267000,Pave,1Fam,2,1,0
303,CollgCr,3082,7,5,2001,1541,3,118,0,205000,Pave,1Fam,2,0,0
304,CollgCr,1788,5,7,1972,894,2,70,0,149900,Pave,1Fam,1,0,1
305,OldTown,4963,7,9,1880,3493,3,87,0,295000,Pave,1Fam,3,0,0
306,CollgCr,4000,8,5,2004,2000,3,80,0,305900,Pave,1Fam,2,0,1
307,SawyerW,2943,7,5,1990,2243,3,116,0,225000,Pave,1Fam,2,1,1
308,IDOTRR,1725,6,7,1920,1406,0,,0,89500,Pave,1Fam,1,0,0
309,Edwards,1722,4,5,1940,861,2,,0,82500,Pave,1Fam,1,0,0
310,NridgHt,3840,9,5,2003,1944,3,90,0,360000,Pave,1Fam,2,0,1
